2014-5-15,3797.12,3799.08,3728.32,3732.34,3748.32
2014-5-16,3722.56,3733.28,3685.07,3726.66,3726.84
2014-5-19,3722.39,3722.39,3679.64,3705.36,3705.36
2014-5-20,3720.23,3748.75,3708.14,3715.71,3716.393
2014-5-21,3708.12,3747.55,3680.89,3747.33,3727.425
2014-5-22,3748.93,3788.06,3744.6,3746.14,3738.458
2014-5-23,3742.99,3786.56,3742.98,3786.56,3749.491
2014-5-26,3798.73,3827.59,3798.73,3827.49,3760.523
2014-5-27,3825.37,3834.42,3812.89,3818.32,3771.556
2014-5-28,3818.35,3862.1,3813,3861.59,3782.588
2014-5-29,3862.3,3874.1,3821.42,3821.87,3793.621
2014-5-30,3818.47,3840.86,3798.81,3829.24,3804.654
2014-6-3,3833.12,3845.48,3821.43,3822.72,3815.686
2014-6-4,3820.5,3820.76,3760.29,3789.29,3826.719
2014-6-5,3783.88,3832.38,3779.99,3832.06,3837.752
2014-6-6,3833.38,3837.4,3800.09,3818.33,3848.784
2014-6-9,3809.59,3830.6,3795.17,3797.43,3859.817
2014-6-10,3801.51,3840.24,3784.05,3840.02,3870.849
2014-6-11,3838.67,3859.03,3832.53,3858.05,3881.882
2014-6-12,3851.23,3857.91,3832.94,3850.11,3892.915
2014-6-13,3846.62,3894.54,3843.62,3891.56,3903.947
2014-6-16,3893.92,3915.22,3893.17,3914.98,3914.98
2014-6-17,3909.62,3909.62,3876.23,3879.34,3861.883
2014-6-18,3878.69,3881.39,3855.23,3858.1,3808.787
2014-6-19,3853.59,3860.3,3739.41,3755.69,3755.69
2014-6-20,3751.18,3789.41,3751.08,3789.34,3772.344
2014-6-23,3790.84,3827.83,3790.84,3815.88,3788.997
2014-6-24,3814.53,3839.59,3812.75,3839.2,3805.65
2014-6-25,3835.59,3835.59,3803.29,3814.03,3822.304
2014-6-26,3812.91,3863.1,3812.91,3861.95,3838.957
2014-6-27,3861.1,3905.54,3853.75,3889.32,3855.611
2014-6-30,3895.15,3925.44,3889.65,3924.9,3872.264
2014-7-1,3927.48,3951.92,3917.53,3951.73,3888.918
2014-7-2,3950.47,3979.37,3937.24,3979.31,3905.571
2014-7-3,3978.82,4026.07,3972.12,4019.65,3922.225
2014-7-4,4018.39,4022.22,3997.76,4004.56,3938.878
2014-7-7,4004.1,4024.37,3992.28,4014.49,3955.532
2014-7-8,4012.55,4039.92,3982.33,4039.71,3972.185
2014-7-9,4033.82,4047.38,3981.25,3982.4,3988.839
2014-7-10,3980.5,4008.13,3975.7,3982.2,4005.492
2014-7-11,3979.73,4033.89,3978.1,4029.75,4022.146
2014-7-14,4033.71,4090.8,4033.7,4090.8,4038.799
2014-7-15,4089.35,4098.28,4063.6,4093.11,4055.453
2014-7-16,4089.65,4105.02,4046.55,4062.12,4072.106
2014-7-17,4055.91,4055.91,4006.28,4031.44,4088.76
2014-7-18,4018.36,4066.18,4012.51,4042.52,4105.413
2014-7-21,4038.74,4048.94,4017.45,4030.24,4122.066
2014-7-22,4024.42,4086.11,4023.02,4083.29,4138.72
2014-7-23,4083.08,4094.65,4042.04,4057.11,4155.374
2014-7-24,4055.15,4073.86,4013.56,4054.22,4172.027
2014-7-25,4052.03,4089.8,4047.87,4089.8,4188.68
2014-7-28,4106.99,4168.39,4106.99,4168.37,4205.334
2014-7-29,4173.17,4221.58,4167.27,4207.86,4221.987
2014-7-30,4198.41,4220.21,4184.35,4214.84,4238.641
2014-7-31,4211.07,4257.41,4208.57,4257.05,4255.294
2014-8-1,4242.3,4268.43,4201.92,4210.22,4271.948
2014-8-4,4213.11,4278.85,4213.11,4278.85,4288.601
2014-8-5,4284.15,4300.51,4262.76,4300.12,4305.255
2014-8-6,4291.63,4336.76,4276.68,4328.6,4321.908
2014-8-7,4329.3,4348.19,4284.22,4286.09,4338.562
2014-8-8,4287.94,4317.93,4283.61,4311.7,4355.215
2014-8-11,4317.35,4377.24,4317.35,4377.02,4371.869
